Método,Ruta,Tiempo Medio,N. de Peticiones
POST,/api/v1/devices/UEAc5j/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/VRjqsO/,85.0 ms,1 pet
POST,/api/v1/devices/HmxVHf/access/,67.0 ms,1 pet
POST,/api/v1/devices/4VVi69/access/,48.0 ms,1 pet
PATCH,/api/v1/devices/3QpdeE/,91.0 ms,2 pet
PATCH,/api/v1/devices/Tr2wnF/,58.0 ms,1 pet
POST,/api/v1/devices/P6n5l2/access/,73.0 ms,1 pet
POST,/api/v1/devices/CdRUaw/access/,57.0 ms,1 pet
POST,/api/v1/devices/5l6dCz/access/,70.0 ms,1 pet
PATCH,/api/v1/devices/5l6dCz/,72.5 ms,2 pet
POST,/api/v1/devices/I2dCph/access/,85.0 ms,1 pet
PATCH,/api/v1/devices/I2dCph/,124.0 ms,1 pet
POST,/api/v1/devices/ra7pjT/access/,48.0 ms,1 pet
POST,/api/v1/devices/q4VYnM/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/q4VYnM/,64.0 ms,1 pet
PATCH,/api/v1/devices/MK6zpf/,55.0 ms,1 pet
POST,/api/v1/devices/b1Im6A/access/,46.0 ms,1 pet
POST,/api/v1/devices/AyewwN/access/,57.0 ms,2 pet
POST,/api/v1/devices/DzCKxg/access/,58.0 ms,1 pet
PATCH,/api/v1/devices/DITkbH/,57.0 ms,1 pet
PATCH,/api/v1/devices/BqPx5T/,98.0 ms,1 pet
POST,/api/v1/devices/IBmr1E/access/,48.0 ms,1 pet
PATCH,/api/v1/devices/IBmr1E/,86.0 ms,1 pet
PATCH,/api/v1/devices/UEAc5j/,109.0 ms,1 pet
PATCH,/api/v1/devices/nDKl3m/,88.0 ms,1 pet
PATCH,/api/v1/devices/f7dWSW/,61.0 ms,1 pet
POST,/api/v1/devices/WilHH5/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/WilHH5/,104.0 ms,1 pet
POST,/api/v1/devices/bm1Nh0/access/,61.0 ms,1 pet
POST,/api/v1/devices/PjYEnW/access/,50.0 ms,1 pet
